"","tamoxifen","MK-1775","leptomycin B"
"MB-0207",13.9842432041877,12.8156466565962,10.1309274758952
"MB-0209",14.1569797301933,10.7733150187952,8.94139637425602
"MB-0210",14.2187600520921,10.0032341679872,6.15779098041575
"MB-0211",14.1234730959947,11.0964501078372,9.09176866518921
"MB-0214",14.1522855571952,8.25344729109754,1.10372878713282
"MB-0215",14.0220431531629,10.8780359622102,8.98492383691963
"MB-0218",14.0333316119724,13.182313286474,11.9487179577321
"MB-0220",14.0509442879015,7.78097790396917,3.73575213939728
"MB-0221",13.9730341467192,11.2847298612012,9.74158795601977
"MB-0222",14.0143919776342,10.1412288896954,6.26179255607466
"MB-0223",13.8963736046444,11.8031317510466,9.54813167870252
"MB-0224",14.0757773995865,11.7184672060545,8.59591185543404
"MB-0225",13.9147203699185,13.657852559771,15.2234739768635
"MB-0226",13.9398725828514,12.4451759781068,10.7603302265251
"MB-0227",14.0597273617015,12.035451577224,11.7241799983195
"MB-0228",14.0555846653081,11.7763215822136,11.8909150926818
"MB-0229",14.0278425244524,12.4367963202283,9.60353333981069
"MB-0230",14.0214080400144,11.7050437055491,9.60050183845564
"MB-0231",13.9698611137178,12.9021128306373,12.6458831446839
"MB-0232",13.978225925666,12.1580304294355,6.19389694216951
"MB-0233",13.9869442764736,11.0912788514124,9.30810411211674
"MB-0234",13.9135265771529,11.2943413619137,6.49217215339657
"MB-0235",13.9021515823555,12.4930439139403,7.34683881560754
"MB-0236",13.9900947206901,11.0725571304098,7.26082801855746
"MB-0238",14.0602586922182,6.32229797071677,0.399606789247445
"MB-0239",13.9951043971605,12.6906196608807,15.1930981263289
"MB-0241",14.1142337172824,11.1830201586239,5.80595025780606
"MB-0242",14.0513524508788,11.0781947445471,4.68947913815735
"MB-0243",14.0159836181274,12.5335208694076,9.07767707252461
"MB-0244",13.9467313432567,12.9572501235189,9.94322522575656
"MB-0245",13.9608930162856,11.9620424340924,7.78013112333045
"MB-0247",14.068510807487,11.8337029576161,11.2757460532792
"MB-0248",13.9243569779589,11.4538123890298,4.17593066198782
"MB-0249",14.0730673831106,9.6141330242887,6.72857400160917
"MB-0253",13.9629316957605,13.0675240368271,11.4138675727401
"MB-0256",14.0172823702307,12.1630685739861,9.31765405406854
"MB-0257",14.0197855150115,13.2888659417863,14.5961568798126
"MB-0258",13.9997293826976,11.6477525593987,11.068172503144
"MB-0260",13.965267068524,12.8708074768958,10.8585362988462
"MB-0261",13.9515111347726,13.2073649530262,8.43727901711346
"MB-0262",14.0578566647056,10.9947752040509,7.16286746276177
"MB-0263",13.9512117450206,12.4573482954378,16.1237773412569
"MB-0264",13.9887895821616,12.9675426103637,13.695447215646
"MB-0265",14.1603134631951,8.78231884988975,3.07736788922492
"MB-0266",14.0877389697231,11.8245509741037,10.8094428848773
"MB-0268",14.0750575482926,12.106172103007,9.3684413844164
"MB-0269",14.2690246668347,11.3931848897703,7.07006648620884
"MB-0270",14.0349902706271,11.7853991566402,7.62841641364197
"MB-0272",13.9999378489101,12.5895210097598,6.93497889882266
"MB-0273",13.9862466122713,13.9771345227186,12.1983356055581
"MB-0275",14.1715743637935,12.1892395160831,15.0223991854923
"MB-0278",14.1791976061355,8.32709353511324,2.46379135460132
"MB-0279",14.0445212638168,11.5304826511508,6.40405275097289
"MB-0280",13.8858721691153,12.7493673023098,12.8833661930422
"MB-0282",13.9870021743242,10.5011578937729,9.23240543105496
"MB-0283",14.0415755395046,12.0963347802606,4.62827555587842
"MB-0285",14.1384475236358,12.2212762079009,16.6609423272545
"MB-0286",14.1030876452585,10.9539144159639,11.3229613581841
"MB-0287",14.0075340552679,11.5115897648064,9.74674305707885
"MB-0288",14.0097484174647,12.2935820240557,13.8026589460471
"MB-0289",14.2021502058638,10.7732453554709,9.8067302280259
"MB-0290",13.9731207766412,10.4879976767841,5.31856831762525
"MB-0291",14.0512184317855,12.2337364469287,10.2724783662403
"MB-0292",14.0805404822077,10.7622594419606,5.8477927083494
"MB-0293",14.061054264003,9.40841959978114,5.39084377228517
"MB-0294",14.0024779605157,11.3759862217962,8.45415762830648
"MB-0295",14.0268184875381,11.3511656243197,7.96686387102942
"MB-0299",14.11014948849,10.2634012519776,3.964308909268
"MB-0301",14.0510963984743,12.2689847418778,9.69185998151121
"MB-0302",14.0779102083217,11.9288525553887,9.74868240152043
"MB-0303",14.1184829150037,8.3115855839001,2.14632183619313
"MB-0304",13.8552447997124,12.4148862791251,11.0321735701439
"MB-0305",13.945182562228,10.9562058257078,6.72706922481544
"MB-0306",13.9895618128578,10.5070206337665,6.76439728714818
"MB-0307",13.9401484999494,10.0602745964428,7.14281331129416
"MB-0308",13.8893330783975,11.5661769649369,6.66707400913929
"MB-0309",13.9059536748095,13.3840624506498,11.481711812947
"MB-0310",13.9933999254475,9.89076531494699,6.97810496619504
"MB-0311",14.0292101106896,12.1062683572869,9.91315550304162
"MB-0312",13.9524717642933,12.0894007805182,8.53580637438795
"MB-0313",14.0020572257554,10.8233757383358,3.62302045805103
"MB-0314",14.0762780990858,10.1911069386263,7.66974687642277
"MB-0315",13.9508005854564,12.909138010368,9.4088203603834
"MB-0316",14.1246136090076,7.675220256477,1.08611827958907
"MB-0317",13.9435633702669,12.08185973411,7.92488139570482
"MB-0318",14.1188460058326,9.70959657560029,3.75225304769721
"MB-0319",13.9545295148381,12.5142391823676,8.98133298050839
"MB-0320",14.0057326346383,12.4935509663827,12.7371319849682
"MB-0321",13.9067263610033,13.2734149552649,12.6000325580116
"MB-0322",13.9285563555737,13.673209066646,14.6862501403804
"MB-0324",14.0125163700605,11.4143607715082,9.16289311148335
"MB-0325",14.0497692687744,7.92879530736926,0.651421485231334
"MB-0326",14.0288669281377,12.4931678092013,9.05262042023933
"MB-0327",13.8969565225547,12.3810300487445,14.3328815664846
"MB-0328",14.0175470755515,8.88225487981476,3.53721706661116
"MB-0329",13.9966281583634,12.4773480044695,14.4122210342327
"MB-0330",14.0958526000925,9.61131906473702,4.81890969202408
"MB-0333",14.3552692268498,10.840123171817,5.19260522184783
